trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-111.62921125460167,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.8019999999999998}",20,0,-73.97827719934607,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.7989999999999998}",30,0,-15.544008329614773,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.7959999999999998}",20,0,-119.86916768521425,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.7929999999999998}",25,2,-73.1686424941038,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,1,-49.068144012888894,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.7869999999999998}",20,0,-47.416372685130085,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.7839999999999998}",20,6,-57.18365073175961,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.7809999999999998}",20,0,-9.433067316709666,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.7779999999999998}",35,0,-176.7350794304738,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,9,-109.87701567246319,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
76,False,"{'a': 0.5, 'e': 0.7719999999999998}",20,7,-46.92423352846364,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.7689999999999998}",25,0,-58.3495979658525,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.7659999999999998}",30,17,-38.3254224710386,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.7629999999999998}",30,0,-222.93577331255187,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-76.64025971381012,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.7569999999999998}",20,0,-170.43208479210296,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.7539999999999998}",20,0,-58.05703761773685,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.7509999999999998}",25,0,-111.62580094914503,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.7479999999999998}",25,0,-151.43128551444408,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-58.87743593637209,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.7419999999999998}",35,20,-77.55909160631498,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.7389999999999998}",20,0,-18.346031083452303,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.7359999999999998}",25,0,-79.04782099922721,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.7329999999999998}",25,0,-65.20375047526471,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-95.56004614982957,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.7269999999999998}",25,0,-78.04906118341195,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.7239999999999998}",20,6,-120.11690304635619,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
